
2013-03-06 15:13:30.821496,M305,ON,Control4-Motion
2013-03-06 15:13:30.829869,LS305,06,Control4-LightSensor
2013-03-06 15:13:30.840720,BATV305,6930,Control4-BatteryVoltage
2013-03-06 15:13:30.852599,BATP305,68,Control4-BatteryPercent
2013-03-06 15:13:33.983128,M305,OFF,Control4-Motion
2013-03-06 15:13:33.991368,LS305,05,Control4-LightSensor
2013-03-06 15:13:49.542518,M305,ON,Control4-Motion
2013-03-06 15:13:56.482277,M305,OFF,Control4-Motion
2013-03-06 15:15:29.093388,M305,ON,Control4-Motion
2013-03-06 15:15:30.227436,M305,OFF,Control4-Motion
2013-03-06 15:15:34.905837,M305,ON,Control4-Motion
2013-03-06 15:15:34.912722,LS305,06,Control4-LightSensor
2013-03-06 15:15:38.281012,M305,OFF,Control4-Motion
2013-03-06 15:15:38.289662,LS305,01,Control4-LightSensor
2013-03-06 15:25:27.067515,LS305,00,Control4-LightSensor
2013-03-07 14:08:47.093129,M305,OFF,Control4-Motion
2013-03-07 14:08:47.101723,LS305,00,Control4-LightSensor
2013-03-07 14:08:47.109200,BATV305,6930,Control4-BatteryVoltage
2013-03-07 14:08:47.117997,BATP305,68,Control4-BatteryPercent
2013-03-07 14:08:47.301846,LS305,10,Control4-LightSensor
2013-03-07 14:19:37.551893,LS305,09,Control4-LightSensor
2013-03-07 14:26:10.969972,M305,ON,Control4-Motion
2013-03-07 14:26:14.907845,M305,OFF,Control4-Motion
2013-03-07 14:26:31.404322,M305,ON,Control4-Motion
2013-03-07 14:26:36.277334,M305,OFF,Control4-Motion
2013-03-07 14:26:40.027844,M305,ON,Control4-Motion
2013-03-07 14:26:42.654374,M305,OFF,Control4-Motion
2013-03-07 14:27:45.458075,M305,ON,Control4-Motion
2013-03-07 14:27:49.218782,M305,OFF,Control4-Motion
2013-03-07 14:27:49.228641,LS305,08,Control4-LightSensor
2013-03-07 14:28:16.953390,M305,ON,Control4-Motion
2013-03-07 14:28:19.204414,M305,OFF,Control4-Motion
2013-03-07 14:29:13.201214,M305,ON,Control4-Motion
2013-03-07 14:29:13.222763,LS305,09,Control4-LightSensor
2013-03-07 14:29:15.448186,M305,OFF,Control4-Motion
2013-03-07 14:38:31.237961,M305,ON,Control4-Motion
2013-03-07 14:38:31.245009,LS305,08,Control4-LightSensor
2013-03-07 14:38:36.766862,M305,OFF,Control4-Motion
2013-03-07 14:44:47.765496,M305,ON,Control4-Motion
2013-03-07 14:44:47.772665,LS305,09,Control4-LightSensor
2013-03-07 14:44:50.031450,M305,OFF,Control4-Motion
2013-03-07 14:44:56.030012,M305,ON,Control4-Motion
