
2009-08-24 00:01:57.072341,M034,ON,
2009-08-24 00:02:05.011416,M034,OFF,
2009-08-24 00:02:48.004345,P001,1002.9,
2009-08-24 00:02:48.008569,P001,684,
2009-08-24 00:04:24.007843,P001,694,
2009-08-24 00:06:46.021648,P001,587,
2009-08-24 00:07:54.024477,P001,576,
2009-08-24 00:12:46.042321,P001,875,
2009-08-24 00:12:52.042223,P001,698,
2009-08-24 00:13:30.043465,P001,688,
2009-08-24 00:15:25.059479,M034,ON,R2_Sleep begin ,
2009-08-24 00:15:33.020932,M034,OFF,
2009-08-24 00:19:57.051926,T003,22,
2009-08-24 00:19:58.071547,P001,622,
2009-08-24 00:20:04.071529,P001,581,
2009-08-24 00:23:06.082544,P001,561,
2009-08-24 00:25:06.088773,P001,572,
2009-08-24 00:25:12.091564,P001,560,
2009-08-24 00:26:18.009787,P001,1067,
2009-08-24 00:26:19.002291,P001,676,
2009-08-24 00:27:32.005615,M029,ON,
2009-08-24 00:27:33.066889,M037,ON,
2009-08-24 00:27:35.098811,P001,625,
2009-08-24 00:27:36.007463,M029,OFF,
2009-08-24 00:27:40.002056,M037,OFF,
2009-08-24 00:27:42.000256,P001,800,
2009-08-24 00:27:49.058081,M037,ON,
2009-08-24 00:27:50.088379,M038,ON,
2009-08-24 00:27:52.084443,M038,OFF,
2009-08-24 00:27:53.070077,M037,OFF,
2009-08-24 00:28:15.053946,M038,ON,
2009-08-24 00:28:17.004414,M037,ON,
2009-08-24 00:28:19.041608,M037,OFF,
2009-08-24 00:28:20.006356,M038,OFF,
2009-08-24 00:28:46.096381,M038,ON,
2009-08-24 00:29:03.048357,M037,ON,
2009-08-24 00:29:04.057451,M038,OFF,
2009-08-24 00:29:07.004647,M038,ON,
2009-08-24 00:29:11.035375,M038,OFF,
2009-08-24 00:29:11.099483,M029,ON,
2009-08-24 00:29:12.001817,M037,OFF,
2009-08-24 00:29:13.002669,M028,ON,
2009-08-24 00:29:16.096341,M028,OFF,
2009-08-24 00:29:17.063198,M029,OFF,
2009-08-24 00:29:19.054507,D004,CLOSE,
2009-08-24 00:29:24.000683,P001,582,
2009-08-24 00:33:22.022542,P001,473,
2009-08-24 00:37:24.037433,P001,1002.1,
2009-08-24 00:37:24.048175,P001,473,
2009-08-24 00:39:38.045874,P001,555,
2009-08-24 00:39:44.046499,P001,596,
2009-08-24 00:40:26.054475,T002,23.5,
2009-08-24 00:40:30.048787,P001,584,
2009-08-24 00:44:02.064474,P001,1002.4,
2009-08-24 00:44:02.069342,P001,579,
2009-08-24 00:45:33.074942,T002,24,
2009-08-24 00:46:18.069746,P001,474,
2009-08-24 00:48:44.002135,M034,ON,
2009-08-24 00:48:52.050492,M034,OFF,
2009-08-24 00:50:40.094982,T002,23.5,
2009-08-24 00:52:39.095511,P001,727,
2009-08-24 00:52:45.096636,P001,596,
2009-08-24 00:52:52.021382,M034,ON,
2009-08-24 00:52:55.004908,M034,OFF,
2009-08-24 00:53:23.009884,P001,586,
2009-08-24 00:56:11.086411,M034,ON,
2009-08-24 00:56:13.079875,M034,OFF,
2009-08-24 00:56:14.086411,M034,ON,
2009-08-24 00:56:16.082364,M034,OFF,
2009-08-24 00:59:13.001952,P001,473,
2009-08-24 01:00:55.039994,T002,24,
